Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","10","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","-10","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","6","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","18","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","10","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","3","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","4","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","1","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","1","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","7619","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","56094","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","4179","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","4","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","12","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","1","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","24","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","6","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","3","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","29","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","2","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","2739","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","27","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","1462","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","741","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","582","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","438","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","18","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","1702","S","Donn?es standardis?es"
