Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","2.5","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","0.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2740","Beurre, Ghee","2017","2017","kg","0.3","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2740","Beurre, Ghee","2017","2017","Kcal/personne/jour","6","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2740","Beurre, Ghee","2017","2017","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2740","Beurre, Ghee","2017","2017","g/personne/jour","0.68","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2743","Crème","2017","2017","kg","0.04","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2743","Crème","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2743","Crème","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2743","Crème","2017","2017","g/personne/jour","0.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2737","Graisses Animales Crue","2017","2017","kg","0.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2737","Graisses Animales Crue","2017","2017","Kcal/personne/jour","4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2737","Graisses Animales Crue","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2737","Graisses Animales Crue","2017","2017","g/personne/jour","0.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2781","Huiles de Poissons","2017","2017","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2781","Huiles de Poissons","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2781","Huiles de Poissons","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2781","Huiles de Poissons","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2782","Huiles de Foie de Poisso","2017","2017","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2782","Huiles de Foie de Poisso","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2782","Huiles de Foie de Poisso","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2782","Huiles de Foie de Poisso","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2744","Oeufs","2017","2017","kg","5.77","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2744","Oeufs","2017","2017","Kcal/personne/jour","22","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2744","Oeufs","2017","2017","g/personne/jour","1.81","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2744","Oeufs","2017","2017","g/personne/jour","1.57","Fc","Donnée calculée"
